pdf_page,classification,worlds,lessons,topics,activities,memorization,status,source
1,front_matter,,,,,,pending_review,source/book.pdf#page=1
2,front_matter,,,,,,pending_review,source/book.pdf#page=2
3,front_matter,,,,,,pending_review,source/book.pdf#page=3
4,front_matter,,,,,,pending_review,source/book.pdf#page=4
5,front_matter,,,,,,pending_review,source/book.pdf#page=5
6,front_matter,,,,,,pending_review,source/book.pdf#page=6
7,chapter_introduction,,,,,,pending_review,source/book.pdf#page=7
8,educational,faith,faith-001,أركان الإيمان,book-activity-01,memory-094,pending_review,source/book.pdf#page=8
9,educational,faith,faith-002,أركان الإسلام,book-activity-02,memory-095,pending_review,source/book.pdf#page=9
10,educational,faith,faith-003,شعب الإيمان,book-activity-03,memory-096,pending_review,source/book.pdf#page=10
11,educational,faith;memorization,faith-004;memorization-003,أسماء الله الحسنى;حفظ أسماء الله,,memory-084;memory-085;memory-086;memory-087;memory-088;memory-089;memory-090;memory-091;memory-092;memory-093;memory-097,pending_review,source/book.pdf#page=11
12,educational,faith,faith-005,ربي وديني ونبيي,book-activity-04,,pending_review,source/book.pdf#page=12
13,educational,faith,faith-006,معرفة الله,book-activity-05,,pending_review,source/book.pdf#page=13
14,educational,faith,faith-007,التوحيد,book-activity-06,,pending_review,source/book.pdf#page=14
15,educational,faith,faith-008,الإيمان بالملائكة,book-activity-07,,pending_review,source/book.pdf#page=15
16,educational,faith,faith-009,الإيمان بالكتب,book-open-01,,pending_review,source/book.pdf#page=16
17,educational,faith,faith-010,الإيمان بالرسل,book-activity-08,,pending_review,source/book.pdf#page=17
18,educational,faith,faith-011,نبينا محمد ﷺ,book-open-02,,pending_review,source/book.pdf#page=18
19,educational,faith,faith-012,اليوم الآخر,book-open-03,,pending_review,source/book.pdf#page=19
20,educational,faith,faith-013,القدر والتوكل,book-activity-09,,pending_review,source/book.pdf#page=20
21,educational,faith,faith-014,ما أخبرنا به الوحي عن الغيب,,,pending_review,source/book.pdf#page=21
22,educational,faith,faith-015,الحديث وكتبه,book-activity-10,,pending_review,source/book.pdf#page=22
23,educational,faith,faith-016,اتباع النبي ﷺ,book-open-04,,pending_review,source/book.pdf#page=23
24,educational,faith,faith-017,آل البيت والصحابة,book-activity-11,memory-098,pending_review,source/book.pdf#page=24
25,separator_or_blank,,,,,,pending_review,source/book.pdf#page=25
26,separator_or_blank,,,,,,pending_review,source/book.pdf#page=26
27,chapter_introduction,,,,,,pending_review,source/book.pdf#page=27
28,educational,manners,manners-001,آداب المسجد,book-activity-12,memory-099;memory-100;memory-101,pending_review,source/book.pdf#page=28
29,educational,manners,manners-002,السلام ورد السلام,book-activity-13,memory-102;memory-103,pending_review,source/book.pdf#page=29
30,educational,manners,manners-003,آداب اللباس,book-activity-14,,pending_review,source/book.pdf#page=30
31,educational,manners,manners-004,آداب الطعام والشراب,,memory-104;memory-105,pending_review,source/book.pdf#page=31
32,educational,manners,manners-004,آداب الطعام والشراب,,,pending_review,source/book.pdf#page=32
33,educational,manners,manners-005,الطعام الحلال,,,pending_review,source/book.pdf#page=33
34,educational,manners,manners-006,قبل النوم,book-open-05,,pending_review,source/book.pdf#page=34
35,educational,manners,manners-007,عند الاستيقاظ,book-open-06,,pending_review,source/book.pdf#page=35
36,educational,manners,manners-008,آداب الخلاء,,memory-106,pending_review,source/book.pdf#page=36
37,educational,manners,manners-009,آداب العطاس,book-activity-15,memory-107,pending_review,source/book.pdf#page=37
38,separator_or_blank,,,,,,pending_review,source/book.pdf#page=38
39,chapter_introduction,,,,,,pending_review,source/book.pdf#page=39
40,educational,conduct,conduct-001,كلام الخير وحسن التعامل,,memory-108;memory-109,pending_review,source/book.pdf#page=40
41,educational,conduct,conduct-002,عدم الغيبة,,memory-110,pending_review,source/book.pdf#page=41
42,educational,conduct,conduct-003,طهارة اللسان,book-open-07,memory-111,pending_review,source/book.pdf#page=42
43,educational,conduct,conduct-004,إن شاء الله,book-activity-16,,pending_review,source/book.pdf#page=43
44,educational,conduct,conduct-005,ضبط الغضب,book-open-08,memory-112,pending_review,source/book.pdf#page=44
45,educational,conduct,conduct-006,الصدق وترك الخداع,book-open-09,memory-113;memory-114,pending_review,source/book.pdf#page=45
46,educational,conduct,conduct-007,بر الوالدين,book-open-10,memory-115,pending_review,source/book.pdf#page=46
47,educational,conduct,conduct-008,صلة الرحم,book-open-11,memory-116,pending_review,source/book.pdf#page=47
48,educational,conduct,conduct-009,التعرف إلى المحارم,book-activity-17,,pending_review,source/book.pdf#page=48
49,educational,conduct,conduct-009,التعرف إلى المحارم,book-activity-18,,pending_review,source/book.pdf#page=49
