lesson_id,world_id,order,title,source_pages,objective,status,publishable,text_review,religious_content_review,age_suitability_review,audio_status,image_status
faith-001,faith,1,أركان الإيمان,8,أن يشرح الطفل أركان الإيمان ويجيب عن سؤال فهم ويذكر تطبيقًا مناسبًا.,approved,true,approved,approved,approved,not_produced,not_produced
faith-002,faith,2,أركان الإسلام,9,أن يشرح الطفل أركان الإسلام ويجيب عن سؤال فهم ويذكر تطبيقًا مناسبًا.,approved,true,approved,approved,approved,not_produced,not_produced
faith-003,faith,3,شعب الإيمان,10,أن يشرح الطفل شعب الإيمان ويجيب عن سؤال فهم ويذكر تطبيقًا مناسبًا.,approved,true,approved,approved,approved,not_produced,not_produced
faith-004,faith,4,أسماء الله الحسنى,11,أن يشرح الطفل أسماء الله الحسنى ويجيب عن سؤال فهم ويذكر تطبيقًا مناسبًا.,approved,true,approved,approved,approved,not_produced,not_produced
faith-005,faith,5,ربي وديني ونبيي,12,أن يشرح الطفل ربي وديني ونبيي ويجيب عن سؤال فهم ويذكر تطبيقًا مناسبًا.,approved,true,approved,approved,approved,not_produced,not_produced
faith-006,faith,6,معرفة الله,13,أن يشرح الطفل معرفة الله ويجيب عن سؤال فهم ويذكر تطبيقًا مناسبًا.,approved,true,approved,approved,approved,not_produced,not_produced
faith-007,faith,7,التوحيد,14,أن يشرح الطفل التوحيد ويجيب عن سؤال فهم ويذكر تطبيقًا مناسبًا.,approved,true,approved,approved,approved,not_produced,not_produced
faith-008,faith,8,الإيمان بالملائكة,15,أن يشرح الطفل الإيمان بالملائكة ويجيب عن سؤال فهم ويذكر تطبيقًا مناسبًا.,approved,true,approved,approved,approved,not_produced,not_produced
faith-009,faith,9,الإيمان بالكتب,16,أن يشرح الطفل الإيمان بالكتب ويجيب عن سؤال فهم ويذكر تطبيقًا مناسبًا.,approved,true,approved,approved,approved,not_produced,not_produced
faith-010,faith,10,الإيمان بالرسل,17,أن يشرح الطفل الإيمان بالرسل ويجيب عن سؤال فهم ويذكر تطبيقًا مناسبًا.,approved,true,approved,approved,approved,not_produced,not_produced
faith-011,faith,11,نبينا محمد ﷺ,18,أن يشرح الطفل نبينا محمد ﷺ ويجيب عن سؤال فهم ويذكر تطبيقًا مناسبًا.,approved,true,approved,approved,approved,not_produced,not_produced
faith-012,faith,12,اليوم الآخر,19,أن يشرح الطفل اليوم الآخر ويجيب عن سؤال فهم ويذكر تطبيقًا مناسبًا.,approved,true,approved,approved,approved,not_produced,not_produced
faith-013,faith,13,القدر والتوكل,20,أن يشرح الطفل القدر والتوكل ويجيب عن سؤال فهم ويذكر تطبيقًا مناسبًا.,approved,true,approved,approved,approved,not_produced,not_produced
faith-014,faith,14,ما أخبرنا به الوحي عن الغيب,21,أن يشرح الطفل ما أخبرنا به الوحي عن الغيب ويجيب عن سؤال فهم ويذكر تطبيقًا مناسبًا.,approved,true,approved,approved,approved,not_produced,not_produced
faith-015,faith,15,الحديث وكتبه,22,أن يشرح الطفل الحديث وكتبه ويجيب عن سؤال فهم ويذكر تطبيقًا مناسبًا.,approved,true,approved,approved,approved,not_produced,not_produced
